,"1 if yes, 0 if no","1 if yes, 0 if no",Comments or Questions,
Comment,Technology Related ,Accessibility,Technology Related ,Accessibility
"For information regarding public services to be updated quickly and consistently. To make information simple and digestible for the average resident in multiple languages. And for information to be more accessible, especially regarding elections, community input, and relevant city services.",0,1,,
Improve and fund public transportation to allow people to access the city they live in,0,1,,
more access to info like mutual aid and having a connected public transport system,0,1,,
Greater access to transportation and more solar friendly,1,1,,
"Create a ""NYC time square"" like location downtown where you can display all public service data/stats/information on a huge screen, then sell advertising space on the screen to fund the ""time square"" creation. ",1,1,,
"Improve mobility and equitable distribution of resources
Automate as much as you can so that more time can be spent mindfully living",1,0,,
"I would like to see interactive web dashboards related to public health, transportation data, housing,  crime, etc. City dwellers should be enabled and empowered to make informed decisions with data that is collected by the city. ",1,1,,
"I'd like to see VIA actually show up on time. I'd also like to see that every bus stop has some sort of shelter so people can wait in the shade instead of this terrible heat. Also, the roads are terrible. Maybe some sort of predictive model can be used to determine which roads in the city are the oldest and some preventative maintenance can be performed.",1,0,,
"I would like technology to be used to make San Antonio a better place to live, especially for those living in poverty",1,0,,
More transparency,0,0,,
Technology can be used to provide unbiased and in depth information regardless current issues in the city. It can also be used to help those with disabilities become more independent.,1,1,,
Sensors on pubic assets and infrastructure to alert to when repairs and service interruption occurs.,1,0,,
Used in a non complicated way for those less fortunate or unable to get the technology services needed. Mentorship-tutorÕs.,1,1,,
Access to real-time data to make decisions...,0,1,,
Ease of access,0,1,,
Better apps,1,0,,
Easier to access information,0,1,,
It all comes down to adequately staffing technological resources,1,0,,
"No opinion.  This is a very low priority for me.  I just want less bike lanes taking up room on city streets, lower taxes, and less homeless people of street corners (for reasons or property values and public safety).",0,0,,
"Virtual meetings w city officials and policy makers, free Wi-Fi for low income families",1,1,,
"More efficient and effective use of resources - traffic patterns, energy usage, improve procedures",0,0,,
Focus on the basics. Make city services more efficient,0,0,,
I would like the internet/wifi to be consistently faster. There are certain times when it gets slower at almost the same time everyday.,1,0,,
Cut costs,0,0,,
Continued information from City Councilman Courage,0,1,,
Provide an app to monitor water and energy consumption in our homes.,1,1,,
Easy access and safety,0,1,,
Online voting for registered voters who are disabled or elderly.,0,1,,
reporting crimes,0,0,,
Greater connectivity for all. Wi-Fi services throughout the community that are free.,1,1,,
Identifying needs/gaps in services; tracking improvements and progress;  closing education gaps,0,0,,
Entertainment and safety,0,0,,
Better public trans. Easier access to public services.,0,1,,
Use technology to create a more hygienic environment,1,0,,
"Having fast free Wi-Fi in the city and surrounding areas (areas planned for annexation) to allow us to connect to services and the community.  Apps that will show when buses and trains are coming, yes trains we need transportation from north to downtown, river walk and Austin",1,1,,
cool concrete technology to reduce heat,1,0,,
Better sensors at heavy light traffic intersections. Better and/or adding street lighting for older existing neighborhoods. Use of cameras in the street for vigilance in high crime areas.,1,0,,
Public services and internet are great but the elderly still lack the tools and resources in low income areas to use these tools,0,1,,
"More responsive, user-friendly systems ",0,0,,
I love that this year so many fitness opportunities have been available and posted online. Please allow more lap swimming at more of the pools in the downtown and south east side of town!,0,1,,
"I'd like public campaigns to destigmatize and push mass transit like a rail system. I'd like more public info campaigns about how individual choices can reduce carbon footprints. I'd like technology to be used to find the nearest recycling bin or trash bin so people wouldn't throw their rubbish around. I'd like to use technology to really contribute how we can rethink our futures without a heavy reliance on fossil fuels, single-use plastics, and a shift away from individualism. ",1,0,,
Safer and monitored public safety so that EMS can quickly respond in emergencies.  Solid emergency preparedness  for combined city and county safety.,0,0,,
"Better communication between all city services and our COSA citizens. 

",0,0,,
To lower my property taxes and get crosswalks and sidewalks for neighborhoods and schools. Use tech to design them then use tech to schedule the improvements.,1,0,,
More things online and easy to use. More robust high speed internet access and choices.,1,1,,
AI & for there to be a central database for all City services so I can get updates & report issues & track progressÉwhen I want updates.,1,1,,
Apps to help sign up for programs or locate certain services easier,1,1,,
"Improving service delivery
Extreme weather response ",1,0,,
"Innovation, efficiency, transparency and accessibility",1,1,,
"use machine learning to maximize energy efficiency, transit efficiency, and enhance sustainable economic development ",1,0,,
"Access to tech and public health resources; better public transport - cities are for human beings, not cars",1,1,,
"Installing public WiFi in heavily public-trafficked areas, providing technology for house less folks, create a safer and better public transit system.",1,1,,
Use existing traffic and mapping data from Google and Apple to determine the most common trips taken by citizens to prioritize public transit routes. Light rail from SAT to downtown to the med center would give business and tourist visitors an easy way to avoid the traffic.,1,0,,
"*SAFE* public transportation, better roads, and affordable healthcare option ",0,0,,
Safety,0,0,,
By making it accessible to all making affordable to all.,0,1,,
"Stay on top of social media posts to inform the masses as well as an easy to navigate website to keep myself updated with whatÕs going on in the city. I think having a public tv channel that only has city information (voting rights/locations, exactly what weÕre voting on, who were voting for, development changes, issues in the city, etc) just keep us informed.",1,1,,
Test,0,0,,
Communication,0,0,,
Making it affortable,0,0,,
I would like our city to have more solar options.,1,0,,
To make things more convenient,0,1,,
Free to all,0,0,,
Transportation technology for users should be easier,1,1,,
Better google map,1,1,,
I would like technology to help older people understand how to use or creat a website,1,1,,
Online education,1,1,,
Make them more user friendly and accessible,0,1,,
Create user friendly apps to register for programs,1,0,,
I want an app to pay for my water and wifi services. Also an app to bus transportation.,1,0,,
Quality control with cost efficient services,0,0,,
All people to communicate,0,0,,
Mad internet gratuito,1,0,,
Having accessible hotspot all around town,0,1,,
Better connect to getting someone attention,0,0,,
To provide info about healthy foods,0,0,,
More/easier access,0,1,,
To make things more efficient for us,0,0,,
Faster and easier,0,0,,
Making sure first responders can use current and future technology to keep our city safe.,1,0,,
"Needs to be convenient, and accessible from all areas of San Antonio
",0,0,,
Increase access to internet. Make it public utility,1,1,,
Affordable internet for all,1,1,,
Better area,0,0,,
Allow all the residents to access internet.,1,0,,
Increased efficiencies,0,0,,
"I would like to have the ability to have Wi-Fi connectivity all throughout the city with reliable service. I would also like to have an ability to know who does what. What schools are involved, how are businesses contributing and what is the overall goal and the progression toward it. I would like to see more advancement in transit and options.",1,0,,
Better response time and follow portal for code violations reported.,0,0,,
More private among the public,0,0,,
User friendly apps,1,0,,
An app to locate services and directions across the county,1,0,,
Not everyone can afford the internet.  Provide free free to all elderly and provide resources to teach them,1,1,,
Affordable housing,0,0,,
Wifi,1,0,,
Free internet access,1,0,,
Internet gratis,1,0,,
Being protected again still online threats stolen information and information being collected while using the internet,0,0,,
Affordable internet for family,1,1,,
improve internet towers,1,0,,
Use the latest technology available to make public services more accessible,1,1,,
"more clarity and faster response
",0,0,,
I would like technology to be used to protect the safety of our community,1,0,,
"To cut time in lines, to allow more business to be done online rather than in person, to educate public and increase participation, to match volunteers with needs, to provide dashboards to track stats and solve problems like public health, water levels and insecurity, food insecurity and access points, animal control, public transportation, school rankings and needs, etc.",0,0,,
I would like technology to be easily accessible to all people in order for them to find any information they need.,1,1,,
Easier apps to navigate,1,1,,
Convenience and easy to use applications that have no errors. Apps that are accessible for elderly and people with disabilities will greatly improve the health of the cityÕs people in the future.,1,1,,
Having access to public services in public parks,0,1,,
More advertisement for programs to help the community,0,1,,
"Easier to obtain any appointments needed. SAHA does not respond to their emails in a timely manner; create a queue that they have a certain period of time to respond and take care of something that needs to get done. My mother has been waiting over a month to get an inspection so she can move into her apartment and the email sat in an organizational mailbox for over a month and nobody had read/received it. Covid isn't as much of a factor now, people need to stop using that as an excuse for poor service.",0,0,,
"Making WiFi available city-wide, especially to assist in online education.",1,1,,
"IÕd like technology to improve the availability of services and accuracy of information and ability for people to get the information they need. Most of all, IÕd like technology to improve the safety of our city.",1,1,,
"Become friendlier for pedestrians and improve public transport, reduce environmental impact, live better together",0,0,,
Monitoring crime.,0,0,,
"Develop infrastructure(Power, technology, internet etc) that does not stop/ go down on high load - increase load capacity.
Utilize technology to improve security and reduce crime rate",1,0,,
Actual people that can quickly respond to questions,0,0,,
More virtual town halls to receive citizens' input.,1,0,,
Easier access to the services and personal assistance to guide people to and through the necessary system(s).,0,1,,
Support organizations like Geekdom.,1,0,,
"Faster response times for emergency services, better tools for identifying and solving crimes and prosecuting criminals, emergency alert and guidance systems",1,0,,
Rail system so people use less cars. Less dependency on gas and coal,0,0,,
LIGHT RAIL,0,0,,
more robust apps to engage the local government with the people,1,1,,
If someone calls to report a pothole or a water main break the appropriate crew would be sent to address the problem.,0,0,,
QR codes placed on city property to help connect residents to important info.,1,1,,
More public accessibility for disabled individuals.,0,1,,
Reliable bus and rail schedules synced to phones or texts. See NYC bus system for examples.,1,1,,
Continued progress on ease of access to healthcare and making it more affordable.,0,0,,
"Prioritizing affordable healthcare, and clean public transportation ",0,0,,
"The via app trip planner is HORRIBLE. 311 app is HORRIBLE, not even functional at all. These are basic, vital resources the city is neglecting. ",1,0,,
Using technology to help curb illegal immigration or using it to build a wall,1,0,,
Better online integration as it applies to accessing public transportation schedules/getting on public transit,1,1,,
"Roof-top solar, light rail service",1,0,,
Invest is proper mass transit. Do NOT invest in garbage like Tesla Hyperloop and electric buses.,1,0,,
Use demographic data to better take care of those without means to take care of themselves.,1,0,,
Clear and accesible voting  information,0,1,,
Railway systems with automated schedule update notices for any delays.,1,0,,
Replace buses with electric rails.,1,0,,
Technology should allow all city services to be accessed on your phone.,1,1,,
Enhance public transportation and incorporate light rail.,1,0,,
Use it to target the communities that need it most,0,0,,
Make city/community resources available in an easy to digest format. 211 sucks,0,0,,
Giving citizens more voice.,0,1,,
"Solar energy, fiber internet, light rail ",1,0,,
"Timed traffic lights, online access to more city services,",1,1,,
Analysis of environmental impact,1,0,,
Integrate into a better public transit system,1,0,,
Rail way public transit system.,0,0,,
A rail-based public transit that spans the entire city and not just one area.,0,0,,
"The city, county & state work off DOS systems.  These need to be updated to allow for city/county/state employees to be more efficient in allocating resources.",0,0,,
"Support public transport, communicate important information to city inhabitants",0,0,,
Streamlined (similar) experiences across all services.,0,0,,
Reduce costs,0,0,,
"Expanding Internet access to all, providing reliable and safer transportation options that are better for our air quality, and providing a more reliable power grid that reduces cost to the consumer.",1,1,,
Speaking to someone live vs the maze of automated Q&A responses.,1,0,,
"Better city website and communication, especially communication with representatives (messaging councilperson is currently text-only), better use of data to optimize traffic and public transit routes and identify ideal areas for higher density zoning, ",1,1,,
better connection with public transit (bus/train schedule),0,0,,
everything online... let me track garbage trucks (like VIA buses)... send me text message alerting me to potential power outages... etc..,1,0,,
"Local leaders can use Google to see how expanding highways doesn't actually solve traffic problems, and then realize that we need a rail system and protected bike lines.",1,0,,
I would like it to encourage culture and community.,0,0,,
"Real-time update about crime, traffic, events.",0,0,,
"Public transportation such as trains, light rails, subway",0,0,,
Local government websites need to be easier for the elderly to use,1,1,,
Better syncing traffic lights to lessen idling vehicles.  Create a police drone to check on certain areas to combat crime and better response times..  Use technology to help track and catch habitual car thiefs by faster response times.,1,0,,
"Trains- rail transportation, solar ",1,0,,
Access to public and affordable transportation options.,0,1,,
"Give Via busses priority at lights, provide wifi on busses AND at bus stops, improve looking up bus schedules and real-time bus ETAs on the phone, and account for temporarily missing bus stops on schedules and ETAs.",0,0,,
Increasing public transport such as light rails to encourage people to move around the city. Decreasing dependency on cars will increase walkability as well as decrease obesity,0,0,,
"Improve efficiency of public transit, including adding options such as light rail.",0,0,,
"Electrify trains, light rail. This technology is not old or expensive. ",1,0,,
please more busses so i dont have to wait 30 min,0,0,,
N/a,0,0,,
Build trains and streetcars,0,0,,
More efficient traffic and improved first responder response times,0,0,,
Increase and improve public transportation,0,0,,
"Better transportation infrastructure. 
Public city calendar feeds you can subscribe to. 

",0,0,,
"Needs to be user friendly.  Needs to be well advertised.  Needs to be available.  As a senior citizen I am finding the greatest obstacle to my independence is health care.  It's difficult to get to Dr offices.  Not just in terms of travel, but also in terms of easy access to the offices.  Also, time in Dr waiting rooms is excessive.  I often spend 1-2 hours in waiting room for a 5-10 minute Dr visit.  How can technology help with this?  I don't know, but I'm sure it can.",1,1,,
"We need rail in this city to some extent, even if just downtown. We keep building and expanding roads which is known not to solve traffic issues. We keep increasing via bus services, but our city is so massive it leads to inefficiencies.",0,0,,
Make great public transportation,0,0,,
"Jury selection process should be entirely via remote services, so a 12 member jury with alternates will only come to the courthouse in person once selected; kiosks at local grocers and stores to make bill pay etc. be more accessible; broader means of voting for those who want to fulfill civic duties without sacrificing time at work/school to take leave and do so",0,0,,
Better accessible information and process available.,0,1,,
Greater access and efficiency,0,1,,
Make it accessible like San Diego,0,1,,
"Technology should enable public services to be easily accessible and easy to understand. There is no reason a municipal website should look 5 years behind KohlÕs website, itÕs sad",1,0,,
We desperately need something like a high speed rail system to increase our public transportation offerings and decrease traffic and fuel reliance. More commuters may be willing to use public transportation if it were more timely and reliable.,1,1,,
Universal app for all city services and local utilities,1,1,,
I want car free zones all over San Antonio and smart traffic lights.,1,0,,
To improve accessibility to various services and programs,0,1,,
"IÕm thinking an app that has QR codes around the city, that, depending on where you are, you can scan the code, and get some sort of transportation map and select where you want to go, and then the results show you how to get there",1,1,,
Internet service for everyone,1,1,,
"Public transportation will be a necessity the more San Antonio grows, and technology can make that easier and more accessible ",1,1,,
More accurate waiting times for public transportation.,0,0,,
Improved public transport,0,0,,
Internet needs to classified as a utility so that all citizens have access to it in their home.,1,1,,
Better communication,0,0,,
More data,1,0,,
"Technology was useful during Covid to get updates and vital info from the city government. We still need Covid and public health updates. I appreciate these surveys to give our input. IÕd like technology in the form of red light cameras to monitor and fine dangerous speeders using Vance Jackson, Huebner, Lockhill Selma, De Zavala, etc as personal racetracks. Cars go 60+ mph through our neighborhoods. ThatÕs my #1 concern. IÕve been hit a speeder and also many close calls with crazy drivers speeding through our neighborhoods and school zones. Road rage and speeding, aggressive drivers ",1,0,,
Identifying areas of concerns for citizens and optimizing procedures for improving the quality of life.,0,0,,
Public transportation,0,0,,
In whatever way it can be.,0,0,,
Making processes more clear and more efficient. Create more public spaces/parks like the Pearl.,0,1,,
"Increased communication about what sorts of programs are available, more outreach",0,1,,
Rail system,0,0,,
Rail for public transit that is safe and convenient. Connect to Austin in the future for growth.,0,0,,
"There should be an easy to use app for 311. Also, I should be able to use an app like ""waste wizard"" to find specific info for my houses trash services. I'd like to be able to search what goes in what bin and schedule additional services through it. Public transit does not need such a thing because it should be so frequent I don't need to check an app!",1,0,,
better response time to the citizens request for change.,0,0,,
Trains,0,0,,
Optimization of public transit to serve a broader community more effectively and reliably.,1,1,,
Online outreach programs to help the homeless and mentally ill through libraries,1,1,,
City wide train system like the dart train in Dallas,0,1,,
Easier on line access to research info.,1,1,,
Using technology while upgrading infrastructure,1,0,,
Apps with clean interface to find resources near me,1,1,,
Create awareness of new knowledge and technology so we can educate the people and help bridge the digital divide,1,1,,
Make internet free to all,1,1,,
Make rail available,0,1,,
Residential technology to protect residents and crime. Access road systems to preauthorized public trespassing.,1,1,,
For benchmark measurements - and to make the raw data public.,1,0,,
Smart street lights. Crime reporting stations like on college campuses on walking streets.,1,0,,
"ÒTechnologyÓ is not the solution. Adequate funding and the will to implement proven solutions (light rail, public housing, etc) would go much further than new technology.",1,0,,
"Make data informed decisions - identify and remediate crime hotspots/trends, traffic bottlenecks, adaptive pricing to encourage better electric and water usage, etc. Surveillance data to aid public safety and prosecution of crimes (cameras, license plate scanners, etc.).",1,0,,
Ese of accessing public service and information. Simple and easy online service to pay my taxes,1,1,,
More transparency in all areas,0,0,,
"In a more efficient manner, cut back on the extras",0,0,,
